SIGMA,bit_type,bit,TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
2.32,1,0.5639097744360902,0.76,1.0,0.83,0.05,0.0,0.03,0.94,1.0,0.18,0.88,1.0,0.81,0.01,0.04,0.75
2.32,2,0.43609022556390975,0.76,1.0,0.83,0.05,0.0,0.03,0.94,1.0,0.18,0.88,1.0,0.81,0.01,0.04,0.75
2.2,1,0.5769230769230769,0.03,1.0,1.0,0.0,0.03,0.77,0.02,0.17,0.0,0.17,0.17,0.17,0.72,0.2,0.83
2.2,2,0.42307692307692313,0.03,1.0,1.0,0.0,0.03,0.77,0.02,0.17,0.0,0.17,0.17,0.17,0.72,0.2,0.83
0.89,1,0.7712082262210798,0.61,0.24,0.03,0.0,0.0,0.51,0.2,0.26,0.21,0.47,0.26,0.47,0.51,0.13,0.46
0.89,2,0.22879177377892024,0.61,0.24,0.03,0.0,0.0,0.51,0.2,0.26,0.21,0.47,0.26,0.47,0.51,0.13,0.46
2.24,2,0.4274809160305343,0.72,0.58,1.0,0.21,0.09,0.58,0.17,0.0,0.39,0.39,0.21,0.18,0.72,0.94,0.6
2.24,1,0.5725190839694657,0.72,0.58,1.0,0.21,0.09,0.58,0.17,0.0,0.39,0.39,0.21,0.18,0.72,0.94,0.6
1.75,2,0.368421052631579,0.83,0.47,0.71,0.18,0.0,0.94,0.29,0.39,0.2,0.18,0.2,0.0,0.71,0.83,0.6
1.75,1,0.631578947368421,0.83,0.47,0.71,0.18,0.0,0.94,0.29,0.39,0.2,0.18,0.2,0.0,0.71,0.83,0.6
1.01,1,0.7481296758104738,0.29,0.65,0.29,0.39,0.27,0.72,0.16,0.05,0.33,0.39,0.33,0.0,0.58,0.29,0.42
1.01,2,0.25187032418952615,0.29,0.65,0.29,0.39,0.27,0.72,0.16,0.05,0.33,0.39,0.33,0.0,0.58,0.29,0.42
0.74,2,0.19786096256684482,0.22,0.18,0.26,0.9,0.0,0.38,0.57,0.19,0.46,0.68,0.66,0.18,0.45,0.04,0.52
0.74,1,0.8021390374331552,0.22,0.18,0.26,0.9,0.0,0.38,0.57,0.19,0.46,0.68,0.66,0.18,0.45,0.04,0.52
0.75,1,0.8,0.35,0.19,0.19,0.0,0.14,0.19,0.07,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.47
0.75,2,0.19999999999999996,0.35,0.19,0.19,0.0,0.14,0.19,0.07,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.47
0.86,1,0.7772020725388601,0.45,0.05,0.37,0.0,0.0,0.45,0.16,0.39,0.43,0.9,0.39,0.9,0.45,0.37,0.54
0.86,2,0.2227979274611399,0.45,0.05,0.37,0.0,0.0,0.45,0.16,0.39,0.43,0.9,0.39,0.9,0.45,0.37,0.54
1.42,1,0.6787330316742082,0.21,0.48,0.7,0.88,0.0,0.13,0.04,0.64,0.17,0.88,0.17,0.0,0.7,0.21,0.64
1.42,2,0.3212669683257918,0.21,0.48,0.7,0.88,0.0,0.13,0.04,0.64,0.17,0.88,0.17,0.0,0.7,0.21,0.64
0.89,2,0.22879177377892024,0.7,0.15,0.04,0.0,0.2,0.21,0.05,0.38,0.19,0.17,0.38,0.17,0.43,0.48,0.46
0.89,1,0.7712082262210798,0.7,0.15,0.04,0.0,0.2,0.21,0.05,0.38,0.19,0.17,0.38,0.17,0.43,0.48,0.46
0.88,2,0.2268041237113403,0.64,0.07,0.27,0.0,0.31,0.07,0.2,0.0,0.35,0.35,0.0,0.35,0.4,0.21,0.47
0.88,1,0.7731958762886597,0.64,0.07,0.27,0.0,0.31,0.07,0.2,0.0,0.35,0.35,0.0,0.35,0.4,0.21,0.47
1.37,1,0.6864988558352402,1.0,0.06,0.53,0.91,0.24,0.14,0.23,0.2,0.47,0.69,0.67,0.18,0.46,0.9,0.57
1.37,2,0.3135011441647598,1.0,0.06,0.53,0.91,0.24,0.14,0.23,0.2,0.47,0.69,0.67,0.18,0.46,0.9,0.57
1.06,2,0.26108374384236455,0.57,0.38,0.01,0.0,0.71,0.38,0.57,0.0,0.39,0.39,0.0,0.39,0.29,1.0,0.61
1.06,1,0.7389162561576355,0.57,0.38,0.01,0.0,0.71,0.38,0.57,0.0,0.39,0.39,0.0,0.39,0.29,1.0,0.61
1.12,2,0.27184466019417475,0.31,0.86,0.13,0.68,0.28,0.06,0.74,0.93,0.7,0.2,0.21,0.47,0.31,0.14,0.54
1.12,1,0.7281553398058253,0.31,0.86,0.13,0.68,0.28,0.06,0.74,0.93,0.7,0.2,0.21,0.47,0.31,0.14,0.54
2.16,2,0.4186046511627908,0.62,0.91,0.91,0.56,0.61,0.19,0.69,0.63,0.0,0.63,0.05,0.05,0.16,0.69,0.55
2.16,1,0.5813953488372092,0.62,0.91,0.91,0.56,0.61,0.19,0.69,0.63,0.0,0.63,0.05,0.05,0.16,0.69,0.55
1.18,2,0.2822966507177034,0.3,0.53,0.53,0.21,0.48,0.53,0.53,0.0,0.0,0.0,0.21,0.21,0.16,0.53,0.47
1.18,1,0.7177033492822966,0.3,0.53,0.53,0.21,0.48,0.53,0.53,0.0,0.0,0.0,0.21,0.21,0.16,0.53,0.47
1.2,1,0.7142857142857143,0.31,0.74,0.31,0.0,0.0,0.31,0.95,0.39,0.39,0.0,0.39,0.0,0.31,0.31,0.59
1.2,2,0.2857142857142857,0.31,0.74,0.31,0.0,0.0,0.31,0.95,0.39,0.39,0.0,0.39,0.0,0.31,0.31,0.59
